"Имя","Описание","Категории","Изображения","Базовая цена","Артикул","Цвет","Объем","Количество","Тип Товара"
"НИКОЛЬ ДНЕВНИК Круглый Ногтей Штамповка Тарелки Нержавеющая Сталь Цветы Марка Шаблон 075","
 Specification:
100% new retail
Size: 6cm * 6cm
Material: stainless steel
Type: Nail Art Stamping Plates

PACKAGE CONTENTS
1 Pc NICOLE DIARY Designer Nail Stamping Plates

HOW TO USE
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a stamping plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design.  The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion.  The image is transferred on your nail.  
6. Repeat the same steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear.  
","stamping nails > stamping plates > flower collection","https://www.bornprettystore.com/images/ProPho/46142/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46142/1.jpg, https://www.bornprettystore.com/images/ProPho/46142/2.jpg, https://www.bornprettystore.com/images/ProPho/46142/3.jpg, https://www.bornprettystore.com/images/ProPho/46142/4.jpg","118.8","46142","Как на изображении товара","","","Плиты штамповки ногтей"
"Квадратные ногтевые штамповки из нержавеющей стали Мандала Цветочный шаблон для точечных штампов S004","
 Specification:
100% new retail
Quantity: 1 Pc
Shape: Square 
Size: Approx. 6*6cm
Type: Nail Art Stamping Plates

Package Contents :
1 Pc BORN PRETTY Designer Nail Stamping Plates

Instructions:
The plate is shielded by a thin transparent protective film, please remove the film before use, so that the nail polish can be transferred by the stamper.

Feature:
1. Apply base coat or regular polish on the nail.
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish)
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp.
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail.
6. Repeat the 5 steps for all of your nails.
7. After nail art stamping, apply top coat for lasting wear. 
","stamping nails > stamping plates > flower collection","https://www.bornprettystore.com/images/ProPho/42524/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42524/1.jpg, https://www.bornprettystore.com/images/ProPho/42524/2.jpg, https://www.bornprettystore.com/images/ProPho/42524/3.jpg, https://www.bornprettystore.com/images/ProPho/42524/4.jpg","334.8","42524","Как на изображении товара","","1 шт","Плиты штамповки ногтей"
"Без Лампы Вылечить Окунать Голографический Порошок Натуральный Сухой Украшения Искусства Ногтя","
 Specification:
Brand: BORN PRETTY
Capacity: 10ml
Color: As the pictures show

Package Contents:
1 Box 10ml BORN PRETTY Dipping Holographic Powder

Feature: 
The advantages are simple and quick to apply, more durable than nail polish, and the disadvantage is that it is not easy to remove(in the same way as the nail gel)   
Can be used on natural nails and false nails.
Provide a fantastic natural look for your nails.
Perfect for home use or professional use.

How to use :
1. Prepare your nail.
2. Apply a thin coat of dip base.
3. Dip tip of the entire nail into the dish.
4. Brush off excess powder.
5. Apply a second coat of dip Base Coat .
6. Dip tip of a nail into the dish to achieve desired smile line.
7. Brush off excess powder.
8. Apply dip ACTIVATOR.
9. Smooth and refine the surface with a buffer.
10. Apply top coat.

 
","nail glitters","https://www.bornprettystore.com/images/ProPho/45770/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45770/1.jpg, https://www.bornprettystore.com/images/ProPho/45770/2.jpg, https://www.bornprettystore.com/images/ProPho/45770/3.jpg, https://www.bornprettystore.com/images/ProPho/45770/4.jpg","310.8","45770","Как на изображении товара","10мл","",""
"НИКОЛЬ ДНЕВНИК Круглые Штамповки Пластины Из Нержавеющей Стали Рождество Снежинка Олень Ногтей Штамп Шаблон","
 Specification:
100% new retail
Size: 6cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents :
1 Pc NICOLE DIARY Designer Nail Stamping Plates

Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After stamping nail art, apply top coat for lasting wear. 
","stamping nails > stamping plates > festival collection","https://www.bornprettystore.com/images/ProPho/41104/dsc.jpg, https://www.bornprettystore.com/images/ProPho/41104/1.jpg, https://www.bornprettystore.com/images/ProPho/41104/2.jpg","238.8","41104","Как на изображении товара","","","Плиты штамповки ногтей"
"6 мл Хамелеон Лак для ногтей Голографические блестки Черная орхидея серии лак для ногтей","
 Specification:
Brand: BORN PRETTY
Quantity: 1 Bottle
Capacity: Approx. 6ml
Color: As the picture shows

Package Contents:
1 Bottle 6ml BORN PRETTY Chameleon Nail Polish

Feature:
100% brand new chameleon effect nail polish.
Darker base can help to get better effect.
The shimmer nails color in the sample picture is with : 1 layer base coat+1 layer black nail polish+ 2-3 layers colored polish+ top coat.
Professional quality chameleon nail polish ingredients which give glossy and long-lasting nail color.
Comes with brush making nail art fast and easy for everyone.
Allow you to create beautiful chameleon changing color nail designs in short time.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)

 
","nail polish > chameleon nail polish","https://www.bornprettystore.com/images/ProPho/42894/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42894/1.jpg, https://www.bornprettystore.com/images/ProPho/42894/2.jpg, https://www.bornprettystore.com/images/ProPho/42894/3.jpg, https://www.bornprettystore.com/images/ProPho/42894/4.jpg","598.8","42894","Как на изображении товара","Прибл. 6ml","1 бутылка",""
"6мл Блестящий Черный Чистый Цвет Лак Для Ногтей Базовый Лак Для Ногтей Лак Лак","
 Specification:
Brand: BORN PRETTY
Quantity: 1 Bottle
Capacity: Approx. 6ml
Color: Black

Package Contents:
1 Bottle 6ml BORN PRETTY Nail Polish

Feature:
100% brand new
Professional high quality nail polish ingredients which give glossy and long-lasting nail color
Comes with brush making nail art fast and easy for everyone
Allow you to create beautiful nail designs in short time

Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)
 
","nail polish","https://www.bornprettystore.com/images/ProPho/43469/dsc.jpg, https://www.bornprettystore.com/images/ProPho/43469/1.jpg, https://www.bornprettystore.com/images/ProPho/43469/2.jpg, https://www.bornprettystore.com/images/ProPho/43469/3.jpg, https://www.bornprettystore.com/images/ProPho/43469/4.jpg","430.8","43469","черный","Прибл. 6ml","1 бутылка",""
"Наклейки для ногтей наклейки для переноса Торт Фруктовая роза Пончики Картинки Украшение для ногтей Маникюр Наклейка","
 Specification:
Quantity: 1 Sheet
Size: 5.2cm*6.3cm
Pattern: As the pictures show

Package Contents:
1 Sheet Water Decals 

Nails Application:
1. Trim,clean and polish the nails,paint the background color on the nails and dry it out. 
2. Remove the film of product,cut out the patter and plunge it into water 10-20 seconds. 
3. Moisten the nails, stick the patter in position. 
4. Sop up the water with a paper towel and blow dry. 
5. Cap with clear nail polish and blow dry.

  
","stickers decals > water decals","https://www.bornprettystore.com/images/ProPho/45325/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45325/1.jpg, https://www.bornprettystore.com/images/ProPho/45325/2.jpg, https://www.bornprettystore.com/images/ProPho/45325/3.jpg, https://www.bornprettystore.com/images/ProPho/45325/4.jpg","118.8","45325","Как на изображении товара","","1 лист",""
"6мл Голографический лак для ногтей Opal Star Красочные блестки Лазерная голография Nail Art Varn","
 Specification:
Capacity: 6ml
Color: as the pictures show

Package Contents:
1 Bottle BORN PRETTY 6ml Holographics Nail Polish

Feature:
100% brand new and high quality.
Superior quality and brand new merchandise.
Simple to use: Shake or stir very well before use.

How to Use:
Step 1: Apply base coat polish wait it dry.
Step 2: Apply color polish, wait it dry.
Step 3: Apply color polish again, wait it dry.
Step 4: Apply top coat, wait it dry.

Note: White Based and black based will have different effects.
 
","nail polish > holographic nail polish","https://www.bornprettystore.com/images/ProPho/44666/dsc.jpg, https://www.bornprettystore.com/images/ProPho/44666/1.jpg, https://www.bornprettystore.com/images/ProPho/44666/2.jpg, https://www.bornprettystore.com/images/ProPho/44666/3.jpg, https://www.bornprettystore.com/images/ProPho/44666/4.jpg","358.8","44666","как показывают фотографии","6ml","",""
"НИКОЛЬ ДНЕВНИК Большой прямоугольник Штамповка Тарелки Нержавеющая сталь Текстурные Узоры Ногтей Трафареты","
 PRODUCT DESCRIPTION
Brand: NICOLE DIARY
Type: Stamp Plate
Quantity: 1 Pc
Size: 14.5cm * 9.5cm
Material: Stainless Steel
Type: Nail Art Stamping Plates

PACKAGE CONTENTS
1 Pc NICOLE DIARY Designer Nail Stamping Plates

HOW TO USE
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a stamping plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design.  The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion.  The image is transferred on your nail.  
6. Repeat the same steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear. 
 
","stamping nails > stamping plates > flower collection","https://www.bornprettystore.com/images/ProPho/48015/dsc.jpg, https://www.bornprettystore.com/images/ProPho/48015/1.jpg, https://www.bornprettystore.com/images/ProPho/48015/2.jpg, https://www.bornprettystore.com/images/ProPho/48015/3.jpg, https://www.bornprettystore.com/images/ProPho/48015/4.jpg","550.8","48015","Как на изображении товара","","1 шт","Штамп"
"Штамповка Тарелки Симпатичные Панда Изображения Прямоугольника Шаблон Nail Art BPX-L015","
 Specification:
100% new retail
Quantity: 1 Pc
Shape: Rectangle
Size: Approx. 12*6cm

Package Contents :
1 Pc BORN PRETTY Nail Stamping Plate 

Instructions:
The plate is shielded by a thin transparent protective film, please remove the film before use, so that the nail polish can be transferred by the stamper.

Feature :
1. Apply base coat or regular polish on the nail.
2. Apply the nail polish to desired image within a plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish)
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp.
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail.
6. Repeat the above steps for all of your nails.
7. After nail art stamping, apply top coat for lasting wear.



 
","stamping nails > stamping plates","https://www.bornprettystore.com/images/ProPho/38221/dsc.jpg, https://www.bornprettystore.com/images/ProPho/38221/1.jpg, https://www.bornprettystore.com/images/ProPho/38221/2.jpg, https://www.bornprettystore.com/images/ProPho/38221/3.jpg, https://www.bornprettystore.com/images/ProPho/38221/4.jpg","358.8","38221","Как на изображении товара","","1 шт",""
"Прямоугольные штампованные пластины из нержавеющей стали World Stamp Template BP-A06","
 Specification:
100% new retail
Size: 12cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents :
1 Pc BORN PRETTY Designer Nail Stamping Plates

Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After nail art design, apply top coat for lasting wear.
 
","stamping nails > stamping plates","https://www.bornprettystore.com/images/ProPho/42506/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42506/1.jpg, https://www.bornprettystore.com/images/ProPho/42506/2.jpg, https://www.bornprettystore.com/images/ProPho/42506/3.jpg, https://www.bornprettystore.com/images/ProPho/42506/4.jpg","358.8","42506","Как на изображении товара","","","Плиты штамповки ногтей"
"NICOLE DIARY 5мл Гель для волочения проволоки Эластичный рисунок Гель для УФ-лака Белый Soak Off Nail Art Гель Лак","
 NICOLE DIARY is a theme-based nail art brand founded in 2011 by ""NICOLE"", she believes that""Nail arts is one of the ways people can feel creative and artsy, as nail arts supposed to be.""

""No matter where you are,no matter when it is,everywhere it happens, Cause your dream is fancy ! "" NICOLE DIARY is committed to create passionate and personalized Stamping Series for customers, so that every nail experience is unique. 

PRODUCT DESCRIPTION
Brand:NICOLE DIARY         
Type:Wire Drawing Gel Polish
Color Chart:6 Colors for Choose
Quantity:1 box
Volume:Approx. 5ml
Ingredient:Resin
Long Period:About 14 days Or Above
Certification:SGS,MSDS,REACH
Curing Tools:UV Lamp or LED Lamp

PACKAGE CONTENTS
1 Box 5ml NICOLE DIARY Wire Drawing Gel

SELLING POINT
100% brand new and high quality.
Creative wire line nail art UV gel.
It is very convenient and easy to use.
High-molecular materials.
Strong pull tearing.
One-shot molding.
Don't hurt nails.
Suitable for professional use and home use.

HOW TO USE
Step 1. Get ready the base color coat you want.
Step 2. Apply the elastic drawing gel with dotting pen.
Step 3. Draw you design with the dotting pen.
Step 4. Finished your design and cure.
Step 5. Apply top coat and cure.
Step 6. Effect display.

 
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/46022/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46022/1.jpg, https://www.bornprettystore.com/images/ProPho/46022/2.jpg, https://www.bornprettystore.com/images/ProPho/46022/3.jpg, https://www.bornprettystore.com/images/ProPho/46022/4.jpg","334.8","46022","Как на изображении товара","Прибл. 5мл","1 коробка","Волочильный гель для ногтей"
"НИКОЛЬ ДНЕВНИК Круглый Ногтей Штамповки Пластины Из Нержавеющей Стали Серии Геометрии Штамп Шаблон 038","
 Specification:
100% new retail
Size:6cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents:
1 Pc NICOLE DIARY Designer Nail Stamping Plates

How to use:
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After nail art design, apply top coat for lasting wear. 
","stamping nails > stamping plates > geometry collection","https://www.bornprettystore.com/images/ProPho/45608/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45608/1.jpg, https://www.bornprettystore.com/images/ProPho/45608/2.jpg, https://www.bornprettystore.com/images/ProPho/45608/3.jpg, https://www.bornprettystore.com/images/ProPho/45608/4.jpg","190.8","45608","Как на изображении товара","","","Плиты штамповки ногтей"
"НИКОЛЬ ДНЕВНИК Прямоугольник Штамповка Пластины Из Нержавеющей Стали Рождественская Серия Штамп Шаблон ND-002","
 Specification:
100% new retail
Size: 12cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents :
1 Pc NICOLE DIARY Designer Nail Stamping Plates

Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After stamping nail art, apply top coat for lasting wear.

 
","stamping nails > stamping plates > festival collection","https://www.bornprettystore.com/images/ProPho/44808/dsc.jpg, https://www.bornprettystore.com/images/ProPho/44808/1.jpg, https://www.bornprettystore.com/images/ProPho/44808/2.jpg, https://www.bornprettystore.com/images/ProPho/44808/3.jpg, https://www.bornprettystore.com/images/ProPho/44808/4.jpg","358.8","44808","Как на изображении товара","","","Плиты штамповки ногтей"
